Date,Open,High,Low,Close,Volume,RSI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,WILLR,MOM
2019-10-26,8655.5,10352.43,8637.01,9231.81,650.191206,42.773054707873,-11.182700105566255,97.98762248469848,-109.17032259026473,-36.83596356572076,1236.4599999999991
2019-10-27,9232.69,9787.69,9077.85,9530.88,429.573986,46.08930465729113,93.16762814222602,161.87036058599261,-68.70273244376658,-27.00521663669925,1457.869999999999
2019-10-28,9528.62,9901.97,9182.33,9198.09,343.196832,43.09654882678168,147.3144935427208,172.8137807891899,-25.499287246469102,-37.94437559784234,1252.0500000000002
2019-10-29,9202.96,9533.79,9094.14,9408.43,280.989401,45.50513928574158,204.837712947181,184.26960015492008,20.568112792260916,-31.030277530331762,1452.3600000000006
2019-10-30,9407.96,9407.96,9004.51,9154.99,195.557213,43.13593999083726,227.35399352962486,165.42870458989114,61.92528893973371,-39.361118141864914,934.7700000000004
2019-10-31,9168.24,9400.0,8950.81,9142.65,181.578946,43.01849862889242,241.4196379343357,143.59547919568158,97.82415873865412,-39.76674698161523,942.619999999999
2019-11-01,9141.77,9270.25,9041.97,9230.4,97.201588,44.1822777771992,256.6885087592873,127.09148001650652,129.59702874278076,-36.88231175567602,1212.6799999999994
2019-11-02,9237.7,9366.42,9191.84,9288.85,66.076289,44.98823928844108,270.3887521832894,112.63337875240691,157.75537343088249,-34.96099849121849,1822.0
2019-11-03,9320.52,9361.62,9069.38,9203.46,34.509873,43.988946091166696,271.22946994074664,90.77927720789131,180.45019273285533,-37.76785802333191,1787.9899999999989
2019-11-04,9199.9,9505.13,9119.48,9391.41,52.793238,46.79052530042106,283.790380207236,82.67214997950452,201.1182302277315,-31.589742915465514,737.75
2019-11-05,9395.14,9454.72,9180.44,9301.49,54.873119,45.614990734367744,283.22436539941737,65.68490813734869,217.53945726206868,-34.54550833445644,69.68000000000029
2019-11-06,9308.69,9429.6,9255.24,9346.85,34.746287,46.347260022240604,283.1717399471436,52.505826148059896,230.66591379908368,-33.39898565502306,-184.02999999999884
2019-11-07,9342.01,9371.03,9115.87,9210.1,67.721284,44.40604912579555,268.9946488953956,30.662988077049505,238.33166081834608,-38.40151948095605,12.010000000000218
2019-11-08,9207.76,9253.18,8697.25,8781.14,142.738944,38.90186200284497,220.6027439529098,-14.183133492349043,234.78587744525885,-91.59797600587616,-627.2900000000009
2019-11-09,8773.61,8875.14,8729.97,8810.15,50.229502,39.44848972141314,182.48905496432053,-41.83745798475067,224.3265129490712,-90.62852779068997,-344.84000000000015
2019-11-10,8802.19,9137.31,8759.48,9039.3,85.368805,43.730920044072086,168.82802735258338,-44.398788477190266,213.22681582977364,-71.60751045886185,-103.35000000000036
2019-11-11,9044.51,9065.8,8624.44,8731.92,74.459175,39.67725912881841,131.6806350373754,-65.2369446339186,196.917579671294,-88.18056853796674,-498.47999999999956
2019-11-12,8712.08,8874.22,8600.0,8821.69,87.183872,41.38609274246045,108.23705832275482,-70.94441707883135,179.18147540158617,-75.50738567940509,-467.15999999999985
2019-11-13,8823.72,8841.26,8721.49,8791.21,161.907523,40.96179945620729,86.20465994722508,-74.38145236348888,160.58611231071396,-78.87485775523966,-412.25
2019-11-14,8791.22,8808.57,8598.33,8645.97,70.182731,38.9145099521768,56.37432321486085,-83.36943127668249,139.74375449154334,-94.74636082928987,-745.4400000000005
2019-11-15,8645.97,8783.3,8408.21,8473.65,94.894971,36.57857297979695,18.614209556000787,-96.90363594843404,115.51784550443483,-94.03420486452973,-827.8400000000001
2019-11-16,8479.04,8535.98,8445.92,8495.01,68.057582,37.08273443589831,-9.478121197304063,-99.99677336139112,90.51865216408706,-92.08693432520137,-851.8400000000001
2019-11-17,8495.01,8626.55,8420.0,8511.33,95.148871,37.49159538697508,-30.07788892485405,-96.47723287115289,66.39934394629884,-90.59913211537753,-698.7700000000004
2019-11-18,8511.51,8511.51,8069.0,8186.59,71.17284,32.90891402559176,-71.77972530484476,-110.54325540091489,38.76353009607013,-91.51415870450018,-594.5499999999993
2019-11-19,8182.71,8208.97,8004.04,8133.77,83.997387,32.21907757843254,-107.84766292102177,-117.28895441367351,9.44129149265175,-90.89971660259825,-676.3799999999992
2019-11-20,8134.49,8229.5,8046.64,8094.38,58.436428,31.685659653501514,-138.0192076297535,-117.96839929792421,-20.050808331829302,-93.39131961462776,-944.9199999999992
2019-11-21,8097.84,8132.71,7520.18,7634.12,195.157049,26.22263907804783,-196.80091123197963,-141.40008232012025,-55.40082891185937,-93.4252740911714,-1097.8000000000002
2019-11-22,7628.15,7721.84,6798.5,7282.49,205.231104,22.964993839416245,-268.6624634988875,-170.60930766962252,-98.05315582926501,-79.30614286752665,-1539.2000000000007
2019-11-23,7277.26,7343.76,7087.9,7314.92,30.163185,23.90392842887345,-319.3155604202666,-177.00992367280125,-142.30563674746534,-77.91954027903078,-1476.289999999999
2019-11-24,7321.06,7334.4,6890.0,6905.31,143.180018,20.50450816696417,-388.0375530461879,-196.58553303897804,-191.45202000720985,-95.28911039562473,-1740.659999999999
2019-11-25,6901.05,7369.92,6524.64,7121.63,179.918842,26.45305675222372,-420.20119338790755,-182.99933870455814,-237.2018546833494,-74.59162914222968,-1352.0199999999995
2019-11-26,7114.36,7335.85,7031.09,7151.05,115.245337,27.250371813479948,-438.2651145287082,-160.85060787628703,-277.41450665242115,-72.96017473733285,-1343.96
2019-11-27,7155.73,7648.1,6850.74,7515.75,102.011077,36.447935102397246,-418.33040756462196,-112.73272072976062,-305.59768683486135,-56.60506232677884,-995.5799999999999
2019-11-28,7506.5,7643.22,7365.12,7424.67,88.485575,35.24936017864646,-405.2103903413099,-79.69016280515882,-325.5202275361511,-60.15203704851548,-761.9200000000001
2019-11-29,7412.07,7855.0,7404.12,7737.13,91.680678,42.26385114135557,-365.3878082963647,-31.89406460817088,-333.49374368819383,-42.314846972515454,-396.6400000000003
2019-11-30,7737.98,7800.0,7414.0,7548.08,114.531438,39.477303257646746,-345.10472768227464,-9.288787195264604,-335.81594048701004,-51.309047485382344,-546.3000000000002
2019-12-01,7540.08,7542.65,7236.66,7396.18,77.402772,37.3466402950733,-337.39798671474273,-1.2656369821861517,-336.1323497325566,-56.13502644863529,-237.9399999999996
2019-12-02,7405.58,7419.16,7162.23,7296.97,107.114703,35.980737787776754,-335.42913852975653,0.56256896224005,-335.9917074919966,-54.698333000950214,14.480000000000473
2019-12-03,7296.96,7399.97,7239.55,7281.25,58.636189,35.75757693075845,-331.3180564642571,3.7389208221916306,-335.0569772864487,-55.620402848327736,-33.67000000000007
2019-12-04,7284.86,7751.07,7082.46,7195.68,118.667835,34.503108173348856,-331.14751574098227,3.1275692363731764,-334.27508497735545,-58.27047330029165,290.3699999999999
2019-12-05,7180.59,7480.67,7153.94,7381.97,113.534324,39.480902040393666,-312.379399610315,17.51654829363241,-329.8959479039474,-35.55654108662316,260.34000000000015
2019-12-06,7376.79,7597.04,7303.9,7529.99,76.723168,43.17630041588544,-282.30729267477363,38.070924183339,-320.37821685811264,-24.430229411587867,378.9399999999996
2019-12-07,7542.59,7611.36,7472.23,7491.51,36.009011,42.45060883019578,-258.59897763781373,49.423391376239124,-308.02236901405286,-27.322679575453247,-24.23999999999978
